,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
40,treasureunionid,0.00291598323309641,87890.63992521212,0.10529694101561822,8.56405207474875e-06
39,choiharu00,0.00291598323309641,78453.9615476233,0.09892845817183556,2.706525407118814e-06
41,kiranna_kinan,0.0027337342810278844,47867.968073431606,0.15399734676493101,0.046920462804174085
42,jeinneblackpink,0.0025514853289593585,245038.18377320503,0.15724169203624672,0.045455923627316853
46,forskyblue_,0.002369236376890833,1146853.1655403832,0.14510369179329188,0.002686698139809659
45,7chillboo,0.002369236376890833,65756.55933914059,0.10355365482881422,5.6824333358223906e-06
43,wjd2npark_,0.002369236376890833,63429.784921666265,0.10419752433912947,5.4575077198273475e-06
44,fathasayyidah,0.002369236376890833,37386.0,0.1382596042133779,0.026437407150290956
48,lovybel,0.002186987424822307,33625.10516022516,0.1580390920759323,0.048038367533814914
47,liplipaaaee,0.002186987424822307,22867.24159525614,0.14603414953415647,0.04128607983369193
50,yourarians,0.0020047384727537817,41500.91938571138,0.15120526003860052,0.04414533815691908
51,jeongwo0xharut0,0.0020047384727537817,37384.0,0.07839877283667929,3.136217930167798e-08
49,collegemenfess,0.0020047384727537817,25537.296171544014,0.1279060624232056,0.005083626788179085
52,keyystudies,0.0018224895206852562,40740.41137095364,0.15224197762542674,0.04492995019379033
57,its_bayb,0.0016402405686167306,136580.96173012498,0.0996387365342988,3.5711420249892887e-06
53,youreducationc1,0.0016402405686167306,29513.766198110716,0.1396728569691366,0.02820817895621451
55,parkjwoooo,0.0016402405686167306,28052.0,0.06027687122271731,2.23076216647125e-11
59,zipyysev,0.0016402405686167306,25680.44296016539,0.08740635707983463,2.409190540269198e-07
58,treasurebabble,0.0016402405686167306,24940.0,0.07707551503160841,7.111677788023971e-09
54,student_fess,0.0016402405686167306,14193.78434259236,0.13186544391162341,0.012714223951223734
56,alchemillaes,0.0016402405686167306,12938.692867393627,0.14819048927450396,0.03976090713377003
60,msputraaz,0.001457991616548205,59911.405879735554,0.12171847299804571,0.001593941860043532
67,oreoeon,0.001457991616548205,28758.633268181977,0.14637107736762353,0.04138471460039412
