,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
274,junepiyaw,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
283,sss_aeri,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
300,rillakuman,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
318,princes54798837,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
322,potongannf,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
131,khalifakinayaa1,0.0007680491551459293,0.0009140679253724436,0.13251537973191482,0.006192288769399719
200,dinowin_,0.0007680491551459293,0.000877412757603286,0.11076649288805017,0.0001531709965239197
287,tsavahna,0.0007680491551459293,0.0007512305605076974,0.1282415681834533,0.005639522062382307
241,echanensiti22,0.0007680491551459293,0.0007512305605076973,0.1300583237327189,0.0034227623655484728
273,twutwah,0.0007680491551459293,0.0007512305605076973,0.11295095963760643,0.0005693710917680602
253,scndofwil,0.0007680491551459293,0.0007512305605076973,0.10547051088309692,0.00048280156318834767
157,meyskezz,0.0007680491551459293,0.0007512305605076972,0.14521515559829046,0.035948031580019454
175,diveinkyoto,0.0007680491551459293,0.0007512305605076972,0.14521515559829046,0.035948031580019454
268,goenawan_dedi,0.0007680491551459293,0.000570087150119786,0.14640711864846406,0.03621273465648818
120,lovemaze52,0.0007680491551459293,0.0005443420486785327,0.13112370382630764,0.0035249589462094657
209,dreamnforward,0.0007680491551459293,0.0005342683762552773,0.13087630061154104,0.0035388988080468546
221,chiayouu,0.0007680491551459293,0.0005191497212397329,0.12458191058013385,0.0021943647514023733
128,okeuy12,0.0007680491551459293,0.00042870292668074726,0.12914355687154544,0.006105950752893141
160,mowgyli,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
173,hotiecutiee,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
227,satpam_kmplk,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
243,studywithsa,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
254,jihanbelva,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
269,vermmouht,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
278,ehapayabingung,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
279,silverqueern,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
313,privateboba,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
325,ambisss1,0.0007680491551459293,0.00037591034331767737,0.1281889022416942,0.005639481729477266
155,lawcobaambis,0.0007680491551459293,0.00037591034331767737,0.1216445740290434,0.0022356194005049273
229,rabiebz,0.0007680491551459293,0.00037591034331767737,0.10167425959561087,0.00029198806470241527
119,rachelamnd14,0.0007680491551459293,0.00037591034331767737,0.08463665318832032,1.536966351366529e-05
183,ursaturnss,0.0007680491551459293,0.00037591034331767737,0.08463665318832032,1.536966351366529e-05
299,classimoon,0.0007680491551459293,0.00037591034331767737,0.08463665318832032,1.536966351366529e-05
261,ayangiesicheng,0.0007680491551459293,0.0003759103433176773,0.14076210911320197,0.0028094125729345508
