Source,Target,Weight
putwizz,studyyarea,1.0
rahareuu,subschfess,1.0
rainbowariess,sbmptnfess,1.0
rainensky_,sbmptnfess,1.0
rayyslagiambis,studwsyaaa,1.0
renai_maka,utbkfess,1.0
reinmujaddid,cimotyy,1.0
maecyokay17_j,wonunuj_,1.0
reikqmiya,koyuudayo,1.0
maillov_,yvoonmi,1.0
refusama,fajartujuhbelas,1.0
reeireirin,uchuucinn,1.0
redpencilcolor,sabdaps,1.0
rebahan____,cryinhazelmoonz,1.0
real____jjs,subschfess,1.0
rdrkym,sabdaps,1.0
rayofsansyain,idontsharefoods,1.0
rainytics,sbmptnfess,1.0
rawrrchio,schfess,1.0
raufanpurdini,sabdaps,1.0
ratutorojoyo,schfess,1.0
majourns,sabdaps,1.0
rararararadira,sabdaps,1.0
rapinzeul,schfess,1.0
rapinzeul,sbmptnfess,1.0
randd1_,guedahyun,1.0
rakyatuwitter,subschfess,1.0
rajwnn,jpfbase,1.0
malykacang,dekapanfiksii,1.0
panggilnady,flowrblues,1.0
pamaksudmu,ngambisugmdl,1.0
mazzini_gsp,cittairlanie,1.0
mutiarutam131,subschfess,1.0
mystruggle___,sweettaeev,1.0
menyinarimuuu,subschfess,1.0
mystruggle___,schfess,1.0
mystruggle___,hiyifa,1.0
myrrraaahhh,sbmptnfess,1.0
myohangyul99,skamletoy,1.0
myogabhtr,subschfess,1.0
myeonchive,schfess,1.0
mydearpo,jualanmurcee,1.0
mybalwoon,imdemafia,1.0
merciaurevoi,schfess,1.0
my_april04,ofeverythingg,1.0
muthxzsh_,vrnsscfby,1.0
nasculfadhil,neomualone,1.0
muthxzsh_,tukanggalau28,1.0
murphlovebot,dsconnectud,1.0
muhammadrizaclr,sbmptnfess,1.0
msputraaz,utbkfess,1.0
msputraaz,studienbrch,1.0
merdepluie,schfess,1.0
msputraaz,ndlzkdlin,1.0
msputraaz,namaewanaori,1.0
msputraaz,mitsupha,1.0
msputraaz,dinowin_,1.0
msputraaz,azijik,1.0
msputraaz,4bbyitshere,1.0
n00teskuas,fairym3rs,1.0
n00teskuas,krvyblue,1.0
men4ng1s,billsyit,1.0
n00teskuas,studysyx,1.0
nasculfadhil,90storyfair,1.0
narauhlll,qardust,1.0
nantikepikiran,schfess,1.0
nantadv,sabdaps,1.0
nanazzztmlsn,utbkfess,1.0
nanayoonaya,jayeuzv,1.0
nanas_malas,subschfess,1.0
