Source,Target,Jumlah Interaksi
naawoohwan,wjd2npark_,2.0
pinkiniknip,dobongbong_,2.0
voile27,subschfess,2.0
skiessam_,jiunromyy_,2.0
dntcth,rut0w0rld_,2.0
jenoseno,subschfess,2.0
shatrawberry,schfess,2.0
txtdaribayi,strrrburst,2.0
peachydamie,voulsmyz,2.0
haruwobbies,panggilajafe,2.0
aqilla_qiranni,sbmptnfess,2.0
mumarisatulhk,langfess,2.0
dobbysgf_,misellia_,2.0
gumbearie,tentanganne,2.0
dobbywaiji,prythalizee,2.0
megaminesora,harururya,2.0
n00nabubble,wigglybxngtan,2.0
devnur99,itzjaraaa,2.0
pi5xii,mrsyruplemonade,2.0
asahismile_,fluffyxshua,2.0
asahisgurl,asahiwifes,2.0
mumarisatulhk,its_ce05,2.0
pfmmipy,subschfess,2.0
straykdzchan,wheeinnnnn,2.0
asahi_chingu,treasuremenfess,2.0
vrdhmrh,saramadhan,2.0
bitterlo_ve,smkfess,2.0
mrsyruplemonade,pi5xii,2.0
bitterlo_ve,skzgoldroses,2.0
asaaa_truz,7chillboo,2.0
trejoismyboo,kiaviees,2.0
dinyyzz,jnsstudy,2.0
phrdvs,forjeongw8py,2.0
disaalmira3,xyzlla,2.0
kamilla_nadiya,gapyearfess,2.0
asdfghjklhftt,sbmptnfess,2.0
hmpneumothorax,schfess,2.0
cestlacherie,flummfox,2.0
adikmashiho,wjd2npark_,2.0
geuriwohadaa,subschfess,2.0
adeknyaajun,7chillskies__,2.0
rossvxyw_,authxutt7,2.0
fatresiahelena,zenius_oliv,2.0
zen_kakyuni,hanashhi,2.0
acelsopa,forjaee,2.0
sweetsparkleszs,jongusaurus,2.0
cerephaka,reikqmiya,2.0
tayaaleka,angelinetrima,2.0
liplipaaaee,subschfess,2.0
kimkyu991,priceslezz,2.0
qnyaabanana,mondaylis_,2.0
notge0n,subschfess,2.0
tataplangit,burgerdesu,2.0
liplipaaaee,hyuuckly,2.0
hyunslowmotion,treasureunionid,2.0
zenambis,schfess,2.0
notbeautybutidc,sbmptnfess,2.0
rizasfy26,sbmptnfess,2.0
hyunchuni,hmdjky,2.0
zenbyzaa,schfess,2.0
giornogiiovanna,iyoureyestell,2.0
nowsantuy,iridoriscent,2.0
loxelyashi,bulgos7chill,2.0
naxxyra,schfess,2.0
youreducationc1,stilltryingplss,2.0
youreducationc1,utbkfess,2.0
gsukaayamgoreng,sbmptnfess,2.0
caffeinewin,subschfess,2.0
lovybel,sbmptnfess,2.0
natadekopok_,purplishdaisy,2.0
aiurssjii,bulolac,2.0
exlion_a1,prythalizee,2.0
navaaaa_aa,bang_garr,2.0
ainunqolbymunaw,yoncskrit,2.0
goodboiiiz,ndobolwae,2.0
putrioec,xrasqyz,2.0
tetehcarat,mikalia99,2.0
kimfaraa,schfess,2.0
canwehvebutter,schfess,2.0
kimikimikokobop,argelicst,2.0
teresa_katarina,itssayeshaa_,2.0
fajrisp5,utbkfess,2.0
yukisomakun,schfess,2.0
cloudyskies000,purpleskies7_,2.0
kimikimikokobop,smkfess,2.0
lleondrra,jinnieatr,2.0
ciociloq,_yyyedddie,2.0
quip_zenshare,schfess,2.0
quip_zenshare,subschfess,2.0
from_iksan,fioviall,2.0
nnaanaj,subschfess,2.0
5pm53mins,dosiejogja,2.0
ftievi,subschfess,2.0
leetaeminl,jempoikaki,2.0
zeniusssss,schfess,2.0
ranisyafrudin,titis_kun,2.0
21xtina,legendkyu0909,2.0
