Node,Closeness Centrality
mabokwonwoo,0.1450801659114689
haiiwaizumi,0.1450801659114689
haedonggeuri,0.1450801659114689
guepemilikakun,0.1450801659114689
merciaurevoi,0.1450801659114689
khonsanailahr,0.1450801659114689
merdepluie,0.1450801659114689
kimcheeesy,0.1450801659114689
mlieat,0.1450801659114689
mmeillen,0.1450801659114689
jdsmee23,0.1450801659114689
monjicorp,0.1450801659114689
jakqesim,0.1450801659114689
moonliqght1,0.1450801659114689
iucreciamh,0.1450801659114689
livsaja,0.1450801659114689
mrizkifebriann,0.1450801659114689
mersieo,0.1450801659114689
mitharmn_,0.1450801659114689
lionhazelj,0.1450801659114689
bobarlgrs,0.1450801659114689
minexeulate,0.1450801659114689
legingmanohara,0.1450801659114689
minhyunglee283,0.1450801659114689
lizzienoire,0.1450801659114689
minjyvers,0.1450801659114689
minnnnnhoo,0.1450801659114689
luvieaes,0.1450801659114689
luthfeeyaz,0.1450801659114689
luckvoita,0.1450801659114689
nadshevi,0.1450801659114689
loeydude,0.1450801659114689
memeeou,0.1450801659114689
nantikepikiran,0.1450801659114689
lancarluncurr,0.1450801659114689
kinanttan,0.1450801659114689
kimdoieily,0.1450801659114689
whish3s,0.1450801659114689
ulululluu,0.1450801659114689
biiruuuuu,0.1450801659114689
eileithsia,0.1450801659114689
tenriyyy_,0.1450801659114689
cactusoi,0.1450801659114689
tesatesatesaa,0.1450801659114689
tetesown,0.1450801659114689
canisminorids,0.1450801659114689
camillaallif,0.1450801659114689
stabesson,0.1450801659114689
sehunnshinee,0.1450801659114689
semangatinakuw,0.1450801659114689
semestajenuh,0.1450801659114689
senseodie,0.1450801659114689
seputartopik,0.1450801659114689
ekacans__,0.1450801659114689
salmastruggle,0.1450801659114689
bucinsungjin_,0.1450801659114689
salturnuss,0.1450801659114689
egkjlsinisp,0.1450801659114689
echonomically,0.1450801659114689
e_markeu,0.1450801659114689
sasastudy,0.1450801659114689
dwiarts,0.1450801659114689
dukunsanted,0.1450801659114689
sbuxrecipe,0.1450801659114689
dsweetpromises,0.1450801659114689
elysianbounds,0.1450801659114689
solehabknsolime,0.1450801659114689
soodam_husband,0.1450801659114689
spacdust,0.1450801659114689
teafunnygeez,0.1450801659114689
budikur87744640,0.1450801659114689
squisholic_,0.1450801659114689
cciwworr,0.1450801659114689
stupid_medstud,0.1450801659114689
studyyeay,0.1450801659114689
sunnymoondaay,0.1450801659114689
lya_jpark,0.1450801659114689
supercuriouss,0.1450801659114689
chymmynie,0.1450801659114689
sweetberrly,0.1450801659114689
choxco,0.1450801659114689
chemiseutry,0.1450801659114689
starsshineee,0.1450801659114689
strippyn,0.1450801659114689
studaccanggi,0.1450801659114689
studiberries,0.1450801659114689
studyasfuck,0.1450801659114689
bukanjinqorin,0.1450801659114689
coelenterataa,0.1450801659114689
cloudissie,0.1450801659114689
sweetzjunhui,0.1450801659114689
theodore_rjndr,0.1450801659114689
theqids,0.1450801659114689
tidakbolehmalas,0.1450801659114689
tikusblonde,0.1450801659114689
todayis_chaaa,0.1450801659114689
todayis_eyen,0.1450801659114689
tolonksaltyinaq,0.1450801659114689
tomioxa,0.1450801659114689
cingkiya,0.1450801659114689
ccermide,0.1450801659114689
sparklingbub,0.1450801659114689
sriwijaya_bsnjo,0.1450801659114689
wantitsobad,0.1450801659114689
winztersoldier,0.1450801659114689
akuambisswoyyy,0.1450801659114689
amortenntia,0.1450801659114689
amersyu_,0.1450801659114689
venusblaack,0.1450801659114689
tweetscognito,0.1450801659114689
ambispgnfk,0.1450801659114689
ucaaaaay,0.1450801659114689
ucancallmeyunn,0.1450801659114689
____meenn,0.1450801659114689
urbebl0uffee,0.1450801659114689
urfavshuman,0.1450801659114689
urheartbreakx,0.1450801659114689
wintervkooo,0.1450801659114689
90schan_,0.1450801659114689
zonaeaj,0.1450801659114689
1navihd,0.1450801659114689
abccccika,0.1450801659114689
abcdreaam,0.1450801659114689
agracelly,0.1450801659114689
addicttophysics,0.1450801659114689
xaracryst,0.1450801659114689
adaajeyekan,0.1450801659114689
xkylz_dll,0.1450801659114689
xnysaz,0.1450801659114689
xo_fa_xo,0.1450801659114689
anightthinker_,0.1450801659114689
biancallysta_,0.1450801659114689
bbstrawberry25,0.1450801659114689
zrtnj,0.1450801659114689
alluireme,0.1450801659114689
faazaaxx,0.1450801659114689
yaaainisiapa,0.1450801659114689
sstudyaddict,0.1450801659114689
euvoria_,0.1450801659114689
etherealhc_,0.1450801659114689
shotarozaki,0.1450801659114689
ddoraex,0.1450801659114689
tubatu_addicted,0.1450801659114689
dankematian,0.1450801659114689
culameetan,0.1450801659114689
crystaliese,0.1450801659114689
zarschev,0.1450801659114689
yoursunnshine_,0.1450801659114689
yoursiriusss,0.1450801659114689
yournaddy,0.1450801659114689
doyiieekim,0.1450801659114689
zerotohiros,0.1450801659114689
