Node,Closeness Centrality
buosinis,0.14253064229587412
killuarti,0.14221114361808335
leviheijo,0.14221114361808335
alonevrydy,0.1418704093070425
gapyearfess,0.14159899521191543
hjsl0ve,0.14157642423953767
haechaniew,0.14153130387486887
chewmist,0.14148621226073113
itsmechelllllll,0.14057924936162386
vazlae,0.1405347622573955
thomathow,0.1404903033006548
kakmilda,0.13984879506640524
youreducationc1,0.1396728569691366
jejejesiee_,0.1394864071404381
lightfu17,0.13945355589052277
imkhsnh,0.13935509491907738
lkwrdh_,0.13914768877749328
helloyoon4,0.1391258924603289
zenambis,0.13909321078486253
cutiecsan,0.13889744271901472
shoonganteng,0.13889744271901472
gabs_indrawan,0.13868056795483483
kyu_uya,0.1385940075628836
intangomieber,0.13857238434616423
tetsuuuuuw,0.1384967561931607
goenawan_dedi,0.13841042503767173
marshepreloved,0.13841042503767173
yedamitapon,0.1383888590630632
canwehvebutter,0.13832420144319257
fathasayyidah,0.1382596042133779
nasculfadhil,0.13821657290176464
yeopoppaaaaaa,0.13821657290176464
halusinasiberat,0.13819506728905237
yukbisaayuk,0.13818431699210262
piwchicks,0.138152076134195
zeniusambis,0.1381305905858071
jesstjakep,0.1381305905858071
2022camaba,0.13810911171928777
yakkeojyeo,0.13809837479075482
hujkwqe83dja,0.13808763953152048
schcampus,0.13808763953152048
bosbuluu,0.1380661740193906
utbkptn2022,0.1380661740193906
vitamiiinc_,0.1380661740193906
xaracryst,0.1380661740193906
uburuburuu,0.1380661740193906
penghunipluto_,0.1380661740193906
peachymochaa,0.1380661740193906
meyskezz,0.13804471517978545
lagihbelajar,0.13804471517978545
awcitrun,0.13804471517978545
zeniusssss,0.13804471517978545
studstudiee,0.13804471517978545
diveinkyoto,0.13804471517978545
desvianorita1,0.13804471517978545
nrlsaes,0.13804471517978545
fylaworld,0.13802326300959433
mengmodar,0.13802326300959433
junggjaejhyun,0.13802326300959433
therebahan,0.13802326300959433
yellingoutt,0.13802326300959433
atheaana,0.13802326300959433
kimcheeesy,0.13802326300959433
homerunballcola,0.13802326300959433
hilycious,0.13802326300959433
yukbisasemangat,0.13802326300959433
yyours_s,0.13802326300959433
jennstudy,0.13802326300959433
letskol,0.13802326300959433
maillov_,0.13802326300959433
bubblegum26_,0.13802326300959433
shr1ve,0.13802326300959433
lmansa3,0.13802326300959433
yuraharja,0.13802326300959433
studyayle,0.13802326300959433
ratu06487886,0.13802326300959433
chelsstudy,0.13802326300959433
allyaazara,0.13800181750570845
sukajaehyunss,0.13800181750570845
safvely,0.13800181750570845
lactoaludra,0.13800181750570845
kyungbunnyy,0.13800181750570845
pcrnanamikento,0.13800181750570845
ladadidaladida1,0.13800181750570845
kyuutiies,0.13800181750570845
paw_pawmeong,0.13800181750570845
cloudissie,0.13800181750570845
lisaatk04,0.13800181750570845
lacibollalaa,0.13800181750570845
legingmanohara,0.13800181750570845
akuambisswoyyy,0.13800181750570845
klandastine,0.13800181750570845
kyungkyungsoo_,0.13800181750570845
soodam_husband,0.13800181750570845
peacebeuponn,0.13800181750570845
stabesson,0.13800181750570845
spacdust,0.13800181750570845
sn00pymtcha,0.13800181750570845
solehabknsolime,0.13800181750570845
berangcutttt,0.13800181750570845
starinrail,0.13800181750570845
alyeolmae,0.13800181750570845
starsshineee,0.13800181750570845
loeydude,0.13800181750570845
petzoldzzz,0.13800181750570845
sstudyaddict,0.13800181750570845
keutychia,0.13800181750570845
kangambisd,0.13800181750570845
kamobelajar,0.13800181750570845
googiebulet,0.13800181750570845
squisholic_,0.13800181750570845
merciaurevoi,0.13800181750570845
merdepluie,0.13800181750570845
sriwijaya_bsnjo,0.13800181750570845
sparklingbub,0.13800181750570845
naxxyra,0.13800181750570845
kerjarhodey,0.13800181750570845
amairararara,0.13800181750570845
88milyarr,0.13800181750570845
studaccanggi,0.13800181750570845
anandia182,0.13800181750570845
kochengrajin,0.13800181750570845
cingkiya,0.13800181750570845
ckckcfr,0.13800181750570845
__pramudya,0.13800181750570845
amersyu_,0.13800181750570845
amortenntia,0.13800181750570845
strippyn,0.13800181750570845
luckvoita,0.13800181750570845
studiberries,0.13800181750570845
kuyangexpress,0.13800181750570845
studyasfuck,0.13800181750570845
lizzienoire,0.13800181750570845
sunnymoondaay,0.13800181750570845
junhoekasep,0.13800181750570845
kecoayeppo,0.13800181750570845
livsaja,0.13800181750570845
studyyeay,0.13800181750570845
stupid_medstud,0.13800181750570845
sugasecretary,0.13800181750570845
kuntoanjrit,0.13800181750570845
supercuriouss,0.13800181750570845
chennie_p,0.13800181750570845
doounnn_,0.13800181750570845
echonomically,0.13800181750570845
faazaaxx,0.13800181750570845
